Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Hyères,Marseille - Saint-Charles ,TER,881606,10-03-2023,08:28:00,08:28:00,0,,"['Hyères', 'La Crau', 'La Pauline', 'La Garde', 'Toulon Sainte-Musse', 'Toulon', 'La Seyne - Six Fours', 'Ollioules - Sanary-sur-Mer', 'Bandol', 'Saint-Cyr - Les Lecques - La Cadière', 'La Ciotat-Ceyreste', 'Cassis', 'Aubagne', 'Marseille Blancarde', 'Marseille - Saint-Charles']"
Narbonne,Marseille - Saint-Charles ,TER,876532,10-03-2023,08:39:00,08:39:00,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Tarascon', 'Arles', 'Saint-Martin-de-Crau', 'Miramas', 'Vitrolles - Aéroport Marseille Provence', 'Marseille - Saint-Charles']"
Les Arcs - Draguignan,Marseille - Saint-Charles ,TER,881676,10-03-2023,08:43:00,08:43:00,0,,"['Les Arcs - Draguignan', 'Vidauban', 'Le Luc - Le Cannet', 'Gonfaron', 'Pignans', 'Carnoules', 'Puget-Ville', 'Cuers - Pierrefeu', 'Solliès-Pont', 'La Pauline', 'La Garde', 'Toulon Sainte-Musse', 'Toulon', 'Ollioules - Sanary-sur-Mer', 'La Ciotat-Ceyreste', 'Aubagne', 'Marseille Blancarde', 'Marseille - Saint-Charles']"
Volx,Marseille - Saint-Charles ,TER,89065,10-03-2023,08:50:00,08:50:00,0,,"['Volx', 'Manosque - Gréoux-les-Bains', 'Aix-en-Provence - Gare Routière', 'Marseille - Saint-Charles']"
Nice,Marseille - Saint-Charles ,TER,17474,10-03-2023,09:03:00,09:03:00,0,,"['Nice', 'Nice Saint-Augustin', 'Antibes', 'Cannes', 'Saint-Raphaël - Valescure', 'Les Arcs - Draguignan', 'Toulon', 'Marseille - Saint-Charles']"
Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles ,OUIGO,7829,10-03-2023,09:25:00,09:25:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles']"
Narbonne,Marseille - Saint-Charles ,TER,876534,10-03-2023,09:41:00,09:41:00,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre', 'Nîmes Pont-du-Gard', 'Beaucaire', 'Tarascon', 'Arles', 'Saint-Martin-de-Crau', 'Miramas', 'Vitrolles - Aéroport Marseille Provence', 'Marseille - Saint-Charles']"
Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles ,TGV INOUI,6101,10-03-2023,09:56:00,09:56:00,0,,"['Paris - Gare de Lyon - Hall 1 & 2', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles']"
Lyon Part Dieu,Nice ,TGV INOUI,6805,10-03-2023,10:03:00,10:03:00,0,,"['Lyon Part Dieu', 'Valence TGV Rhône-Alpes Sud', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles', 'Toulon', 'Saint-Raphaël - Valescure', 'Cannes', 'Antibes', 'Nice']"
Avignon Centre,Marseille - Saint-Charles ,TER,879527,10-03-2023,10:19:00,10:19:00,0,,"['Avignon Centre', 'Arles', 'Saint-Martin-de-Crau', 'Miramas', 'Saint-Chamas', 'Rognac', 'Vitrolles - Aéroport Marseille Provence', 'Pas des Lanciers', 'L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Marseille - Saint-Charles']"
