Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris - Montparnasse - Hall 1 & 2,Nantes ,OUIGO,7621,08-03-2023,07:41:00,07:41:00,0,,"['Le Mans', 'Angers-Saint-Laud', 'Nantes']"
Paris - Montparnasse - Hall 1 & 2,Quimper ,TGV INOUI,8707,08-03-2023,08:40:00,08:40:00,0,,"['Laval', 'Rennes', 'Redon', 'Vannes', 'Auray', 'Lorient', 'Quimper']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,OUIGO,7671,08-03-2023,09:07:00,09:07:00,0,,['Bordeaux Saint-Jean']
Paris - Montparnasse - Hall 1 & 2,La Rochelle ,TGV INOUI,8375,08-03-2023,09:12:00,09:12:00,0,,"['Saint-Pierre-des-Corps', 'Poitiers', 'Saint-Maixent-l\'École"", \'links\': [], \'coord\': {\'lat\': \'46.406482\', \'lon\': \'-0.20132\'}, \'label\': ""Saint-Maixent-l\'École (Saint-Maixent-l\'École)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87485490:LongDistanceTrain\'', 'Niort', 'Surgères', 'La Rochelle']"
Paris - Montparnasse - Hall 1 & 2,Le Croisic ,TGV INOUI,8913,08-03-2023,09:30:00,09:30:00,0,,"['Le Mans', 'Angers-Saint-Laud', 'Nantes', 'Saint-Nazaire', 'La Baule-Escoublac', 'Le Croisic']"
Paris - Montparnasse - Hall 1 & 2,La Roche-sur-Yon ,TGV INOUI,8973,08-03-2023,09:30:00,09:30:00,0,,"['Le Mans', 'Angers-Saint-Laud', 'Nantes', 'La Roche-sur-Yon']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,8437,08-03-2023,10:03:00,10:03:00,0,,"['Saint-Pierre-des-Corps', 'Poitiers', 'Angoulême', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862413,08-03-2023,10:09:00,10:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Brest ,TGV INOUI,8615,08-03-2023,10:53:00,10:53:00,0,,"['Rennes', 'Lamballe', 'Saint-Brieuc', 'Guingamp', 'Plouaret - Trégor', 'Morlaix', 'Brest']"
Paris - Montparnasse - Hall 1 & 2,Quimper ,TGV INOUI,8715,08-03-2023,10:53:00,10:53:00,0,,"['Rennes', 'Vannes', 'Auray', 'Lorient', 'Quimper']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,12255,08-03-2023,11:08:00,11:08:00,0,,['Bordeaux Saint-Jean']
Paris - Montparnasse - Hall 1 & 2,Toulouse Matabiau ,TGV INOUI,8505,08-03-2023,11:08:00,11:08:00,0,,"['Bordeaux Saint-Jean', 'Agen', 'Montauban Ville Bourbon', 'Toulouse Matabiau']"
Paris - Montparnasse - Hall 1 & 2,Hendaye ,TGV INOUI,8541,08-03-2023,12:08:00,12:08:00,0,,"['Bordeaux Saint-Jean', 'Dax', 'Bayonne', 'Biarritz', 'Saint-Jean-de-Luz - Ciboure', 'Hendaye']"
Paris - Montparnasse - Hall 1 & 2,Tours ,TGV INOUI,8303,08-03-2023,12:25:00,12:25:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Tours']"
Paris - Montparnasse - Hall 1 & 2,Quimper ,OUIGO,7615,08-03-2023,12:44:30,12:44:30,0,,"['Le Mans', 'Laval', 'Rennes', 'Vannes', 'Auray', 'Lorient', 'Quimper']"
Paris - Montparnasse - Hall 1 & 2,Nantes ,TGV INOUI,8875,08-03-2023,13:29:00,13:29:00,0,,"['Le Mans', 'Sablé-sur-Sarthe', 'Angers-Saint-Laud', 'Nantes']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,OUIGO,7653,08-03-2023,13:41:00,13:41:00,0,,"['Poitiers', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Tarbes ,TGV INOUI,8574,08-03-2023,14:02:00,14:02:00,0,,"['Massy TGV', 'Bordeaux Saint-Jean', 'Dax', 'Orthez', 'Pau', 'Lourdes', 'Tarbes']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,8485,08-03-2023,14:15:00,14:15:00,0,,"['Saint-Pierre-des-Corps', 'Poitiers', 'Angoulême', 'Libourne', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Quimper ,TGV INOUI,8723,08-03-2023,14:41:00,14:41:00,0,,"['Laval', 'Rennes', 'Redon', 'Vannes', 'Lorient', 'Quimperlé', 'Rosporden', 'Quimper']"
Paris - Montparnasse - Hall 1 & 2,Le Mans ,TER,16769,08-03-2023,15:06:00,15:06:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Épernon', 'Maintenon', 'Chartres', 'Courville-sur-Eure', 'La Loupe', 'Nogent-le-Rotrou', 'La Ferté-Bernard', 'Connerré - Beillé', 'Le Mans']"
Paris - Montparnasse - Hall 1 & 2,Toulouse Matabiau ,TGV INOUI,8509,08-03-2023,15:08:00,15:08:00,0,,"['Bordeaux Saint-Jean', 'Toulouse Matabiau']"
