Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris Nord,Amsterdam Centraal ,Thalys,9351,08-03-2023,14:22:00,14:22:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Antwerpen-Centraal', 'Rotterdam Centraal', 'Schiphol - Airport', 'Amsterdam Centraal']"
Paris Nord,Saint-Quentin ,TER HDF,847917,08-03-2023,14:34:00,14:34:00,0,,"['Creil', 'Pont-Sainte-Maxence', 'Compiègne', 'Noyon', 'Chauny', 'Tergnier', 'Saint-Quentin']"
Paris Nord,Lille Flandres ,TGV INOUI,7043,08-03-2023,14:46:00,14:46:00,0,,['Lille Flandres']
Paris Nord,Bruxelles-Midi - Brussel-Zuid ,Thalys,9359,08-03-2023,15:55:00,15:55:00,0,,['Bruxelles-Midi - Brussel-Zuid']
Paris Nord,Beauvais - Gare SNCF ,TER HDF,847427,08-03-2023,16:07:00,16:07:00,0,,"['Persan - Beaumont', 'Chambly', 'Bornel - Belle-Église', 'Esches', 'Méru', 'Laboissière - Le Déluge', 'Saint-Sulpice - Auteuil', 'Beauvais - Gare SNCF']"
Paris Nord,St Pancras International ,Eurostar,9043,08-03-2023,16:13:00,16:13:00,0,,['St Pancras International']
Paris Nord,Amsterdam Centraal ,Thalys,9363,08-03-2023,16:25:00,16:25:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Antwerpen-Centraal', 'Rotterdam Centraal', 'Schiphol - Airport', 'Amsterdam Centraal']"
Paris Nord,Compiègne ,TER HDF,847873,08-03-2023,16:37:00,16:37:00,0,,"['Orry-la-Ville - Coye', 'Chantilly - Gouvieux', 'Creil', 'Villers-Saint-Paul', 'Rieux - Angicourt', 'Pont-Sainte-Maxence', 'Chevrières', 'Longueil-Sainte-Marie', 'Le Meux - La-Croix-Saint-Ouen', 'Jaux', 'Compiègne']"
Paris Nord,Beauvais - Gare SNCF ,TER HDF,847429,08-03-2023,16:37:00,16:37:00,0,,"['Chambly', 'Bornel - Belle-Église', 'Méru', 'Saint-Sulpice - Auteuil', 'Beauvais - Gare SNCF']"
Paris Nord,Lille Flandres ,TGV INOUI,7053,08-03-2023,16:46:00,16:46:00,0,,['Lille Flandres']
Paris Nord,Bruxelles-Midi - Brussel-Zuid ,Thalys,9365,08-03-2023,16:55:00,16:55:00,0,,['Bruxelles-Midi - Brussel-Zuid']
Paris Nord,Beauvais - Gare SNCF ,TER HDF,847433,08-03-2023,17:01:00,17:01:00,0,,"['Persan - Beaumont', 'Chambly', 'Bornel - Belle-Église', 'Esches', 'Méru', 'Laboissière - Le Déluge', 'Saint-Sulpice - Auteuil', 'Beauvais - Gare SNCF']"
Paris Nord,Amiens ,TER HDF,848525,08-03-2023,17:07:00,17:07:00,0,,"['Orry-la-Ville - Coye', 'Chantilly - Gouvieux', 'Creil', 'Laigneville', 'Liancourt - Rantigny', 'Clermont de l\'Oise"", \'links\': [], \'coord\': {\'lat\': \'49.385278\', \'lon\': \'2.417663\'}, \'label\': ""Clermont de l\'Oise (Clermont)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87313304:Train\'', 'Saint-Just-en-Chaussée', 'Breteuil - Embranchement', 'Ailly-sur-Noye', 'Longueau', 'Amiens']"
Paris Nord,St Pancras International ,Eurostar,9047,08-03-2023,17:13:00,17:13:00,0,,['St Pancras International']
Paris Nord,Lille Flandres ,TGV INOUI,7057,08-03-2023,17:16:00,17:16:00,0,,['Lille Flandres']
Paris Nord,Creil ,TER HDF,847625,08-03-2023,17:22:00,17:22:00,0,,"['Orry-la-Ville - Coye', 'Chantilly - Gouvieux', 'Creil']"
Paris Nord,Amsterdam Centraal ,Thalys,9369,08-03-2023,17:25:00,17:25:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Antwerpen-Centraal', 'Rotterdam Centraal', 'Schiphol - Airport', 'Amsterdam Centraal']"
Paris Nord,Saint-Quentin ,TER HDF,847925,08-03-2023,17:34:00,17:34:00,0,,"['Creil', 'Pont-Sainte-Maxence', 'Compiègne', 'Noyon', 'Chauny', 'Tergnier', 'Saint-Quentin']"
Paris Nord,Laon ,TER HDF,849931,08-03-2023,17:34:00,17:34:00,0,,"['Dammartin - Juilly - Saint-Mard', 'Crépy-en-Valois', 'Villers-Cotterêts', 'Soissons', 'Anizy - Pinon', 'Laon']"
Paris Nord,Lille Flandres ,TGV INOUI,7061,08-03-2023,17:46:00,17:46:00,0,,['Lille Flandres']
Paris Nord,Valenciennes ,TGV INOUI,7181,08-03-2023,17:52:00,17:52:00,0,,"['Arras', 'Douai', 'Valenciennes']"
Paris Nord,Dortmund Hbf ,Thalys,9471,08-03-2023,17:55:00,17:55:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Liège-Guillemins', 'Aachen Hauptbahnhof', 'Köln - Hauptbahnhof', 'Düsseldorf - Hauptbahnhof', 'Düsseldorf - Flughafen', 'Duisburg Hbf', 'Essen Hbf', 'Dortmund Hbf']"
Paris Nord,Amiens ,TER HDF,848573,08-03-2023,18:04:00,18:04:00,0,,"['Creil', 'Clermont de l\'Oise"", \'links\': [], \'coord\': {\'lat\': \'49.385278\', \'lon\': \'2.417663\'}, \'label\': ""Clermont de l\'Oise (Clermont)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87313304:Train\'', 'Saint-Just-en-Chaussée', 'Longueau', 'Amiens']"
Paris Nord,Clermont de l'Oise ,TER HDF,848527,08-03-2023,18:07:00,18:07:00,0,,"['Orry-la-Ville - Coye', 'Chantilly - Gouvieux', 'Creil', 'Laigneville', 'Liancourt - Rantigny', 'Clermont de l\'Oise"", \'links\': [], \'coord\': {\'lat\': \'49.385278\', \'lon\': \'2.417663\'}, \'label\': ""Clermont de l\'Oise (Clermont)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87313304:Train\'']"
Paris Nord,Lille Flandres ,TGV INOUI,7065,08-03-2023,18:16:00,18:16:00,0,,['Lille Flandres']
Paris Nord,Laon ,TER HDF,849935,08-03-2023,18:34:00,18:34:00,0,,"['Dammartin - Juilly - Saint-Mard', 'Crépy-en-Valois', 'Villers-Cotterêts', 'Soissons', 'Anizy - Pinon', 'Laon']"
Paris Nord,Saint-Quentin ,TER HDF,847927,08-03-2023,18:34:00,18:34:00,0,,"['Creil', 'Pont-Sainte-Maxence', 'Compiègne', 'Noyon', 'Chauny', 'Tergnier', 'Saint-Quentin']"
Paris Nord,Valenciennes ,TGV INOUI,7185,08-03-2023,18:52:00,18:52:00,0,,"['Arras', 'Douai', 'Valenciennes']"
Paris Nord,Amiens ,TER HDF,848529,08-03-2023,19:07:00,19:07:00,0,,"['Orry-la-Ville - Coye', 'Chantilly - Gouvieux', 'Creil', 'Laigneville', 'Liancourt - Rantigny', 'Clermont de l\'Oise"", \'links\': [], \'coord\': {\'lat\': \'49.385278\', \'lon\': \'2.417663\'}, \'label\': ""Clermont de l\'Oise (Clermont)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87313304:Train\'', 'Saint-Just-en-Chaussée', 'Breteuil - Embranchement', 'Ailly-sur-Noye', 'Longueau', 'Amiens']"
Paris Nord,Beauvais - Gare SNCF ,TER HDF,847445,08-03-2023,19:07:00,19:07:00,0,,"['Persan - Beaumont', 'Chambly', 'Bornel - Belle-Église', 'Esches', 'Méru', 'Laboissière - Le Déluge', 'Saint-Sulpice - Auteuil', 'Beauvais - Gare SNCF']"
Paris Saint-Lazare,Cherbourg ,TER,3319,08-03-2023,16:59:00,16:59:00,0,,"['Caen', 'Bayeux', 'Lison', 'Carentan', 'Valognes', 'Cherbourg']"
Paris Saint-Lazare,Le Havre ,TER,3123,08-03-2023,17:40:00,17:40:00,0,,"['Rouen Rive Droite', 'Yvetot', 'Bréauté - Beuzeville', 'Le Havre']"
Paris Saint-Lazare,Rouen Rive Droite ,TER,13173,08-03-2023,17:49:00,17:49:00,0,,"['Vernon - Giverny', 'Gaillon - Aubevoye', 'Val-de-Reuil', 'Oissel', 'Rouen Rive Droite']"
