Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Amiens,Lille Flandres ,TER,848920,11-03-2023,09:55:00,09:55:00,0,,"['Amiens', 'Corbie', 'Albert', 'Achiet', 'Arras', 'Douai', 'Lille Flandres']"
Bâle - SBB,Strasbourg ,TER,96218,10-03-2023,10:39:00,10:39:00,0,,"['Bâle - SBB', 'Saint-Louis', 'Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87424,10-03-2023,11:06:00,11:06:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Paris Est,Colmar ,TGV INOUI,2365,10-03-2023,11:11:00,11:11:00,0,,"['Paris Est', 'Strasbourg', 'Colmar']"
Benfeld,Strasbourg ,TER,30150,10-03-2023,11:20:00,11:20:00,0,,"['Benfeld', 'Erstein', 'Fegersheim - Lipsheim', 'Strasbourg']"
Paris Est,Strasbourg ,OUIGO,7691,10-03-2023,11:54:00,11:54:00,0,,"['Paris Est', 'Strasbourg']"
Bâle - SBB,Strasbourg ,TER,96222,10-03-2023,12:40:00,12:40:00,0,,"['Bâle - SBB', 'Saint-Louis', 'Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Paris Est,Stuttgart Hbf ,DB SNCF,9573,10-03-2023,12:41:00,12:41:00,0,,"['Paris Est', 'Strasbourg', 'Karlsruhe Hauptbahnhof', 'Stuttgart Hbf']"
Sélestat,Saverne ,TER,832018,10-03-2023,12:49:00,12:49:00,0,,"['Sélestat', 'Ebersheim', 'Kogenheim', 'Benfeld', 'Matzenheim', 'Erstein', 'Limersheim', 'Fegersheim - Lipsheim', 'Geispolsheim', 'Graffenstaden', 'Strasbourg', 'Vendenheim', 'Stephansfeld', 'Brumath', 'Mommenheim', 'Schwindratzheim', 'Hochfelden', 'Wilwisheim', 'Dettwiller', 'Steinbourg', 'Saverne']"
Haguenau,Strasbourg ,TER,830529,10-03-2023,12:50:00,12:50:00,0,,"['Haguenau', 'Marienthal', 'Bischwiller', 'Kurtzenhouse', 'Weyersheim', 'Hœrdt', 'Vendenheim', 'Mundolsheim', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87430,10-03-2023,13:06:00,13:06:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Molsheim,Strasbourg ,TER,830829,10-03-2023,13:12:00,13:12:00,0,,"['Molsheim', 'Dachstein', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Duppigheim', 'Entzheim Aéroport', 'Lingolsheim', 'Strasbourg - Roethig', 'Strasbourg']"
Nantes,Strasbourg ,TGV INOUI,5482,10-03-2023,13:17:00,13:12:00,5,Prise en charge de clients en correspondance,"['Nantes', 'Angers-Saint-Laud', 'Le Mans', 'Massy TGV', 'Marne-la-Vallée - Chessy', 'Aéroport Charles de Gaulle 2 TGV', 'Champagne-Ardenne TGV', 'Lorraine TGV', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87432,10-03-2023,13:34:00,13:34:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Bâle - SBB,Strasbourg ,TER,96224,10-03-2023,13:39:00,13:39:00,0,,"['Bâle - SBB', 'Saint-Louis', 'Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87434,10-03-2023,14:06:00,14:06:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Molsheim,Strasbourg ,TER,830833,10-03-2023,14:12:00,14:12:00,0,,"['Molsheim', 'Dachstein', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Duppigheim', 'Entzheim Aéroport', 'Lingolsheim', 'Strasbourg - Roethig', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87438,10-03-2023,15:06:00,15:06:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87440,10-03-2023,15:36:00,15:36:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Paris Est,Stuttgart Hbf ,DB SNCF,9575,10-03-2023,15:41:00,15:41:00,0,,"['Paris Est', 'Strasbourg', 'Karlsruhe Hauptbahnhof', 'Stuttgart Hbf']"
Saverne,Sélestat ,TER,832021,10-03-2023,16:01:00,16:01:00,0,,"['Saverne', 'Steinbourg', 'Dettwiller', 'Wilwisheim', 'Hochfelden', 'Schwindratzheim', 'Mommenheim', 'Brumath', 'Stephansfeld', 'Vendenheim', 'Strasbourg', 'Geispolsheim', 'Fegersheim - Lipsheim', 'Limersheim', 'Erstein', 'Matzenheim', 'Benfeld', 'Kogenheim', 'Ebersheim', 'Sélestat']"
Bâle - SBB,Strasbourg ,TER,96266,10-03-2023,16:09:00,16:09:00,0,,"['Bâle - SBB', 'Saint-Louis', 'Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Stuttgart Hbf,Paris Est ,DB SNCF,9572,10-03-2023,16:13:00,16:13:00,0,,"['Stuttgart Hbf', 'Karlsruhe Hauptbahnhof', 'Strasbourg', 'Paris Est']"
Offenburg,Strasbourg ,TER,87444,10-03-2023,16:36:00,16:36:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Haguenau,Strasbourg ,TER,830545,10-03-2023,16:50:00,16:50:00,0,,"['Haguenau', 'Marienthal', 'Bischwiller', 'Kurtzenhouse', 'Weyersheim', 'Hœrdt', 'Vendenheim', 'Mundolsheim', 'Strasbourg']"
Saverne,Sélestat ,TER,832023,10-03-2023,17:03:00,17:03:00,0,,"['Saverne', 'Steinbourg', 'Dettwiller', 'Wilwisheim', 'Hochfelden', 'Schwindratzheim', 'Mommenheim', 'Brumath', 'Stephansfeld', 'Vendenheim', 'Strasbourg', 'Graffenstaden', 'Geispolsheim', 'Fegersheim - Lipsheim', 'Limersheim', 'Erstein', 'Matzenheim', 'Benfeld', 'Kogenheim', 'Ebersheim', 'Sélestat']"
Offenburg,Strasbourg ,TER,87446,10-03-2023,17:06:00,17:06:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Bâle - SBB,Strasbourg ,TER,96230,10-03-2023,17:09:00,17:09:00,0,,"['Bâle - SBB', 'Saint-Louis', 'Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Molsheim,Strasbourg ,TER,830845,10-03-2023,17:12:00,17:12:00,0,,"['Molsheim', 'Dachstein', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Duppigheim', 'Entzheim Aéroport', 'Lingolsheim', 'Strasbourg - Roethig', 'Strasbourg']"
Krimmeri Meinau,Sarreguemines ,TER,830928,10-03-2023,17:28:00,17:28:00,0,,"['Krimmeri Meinau', 'Strasbourg', 'Mommenheim', 'Obermodern', 'Ingwiller', 'Wingen-sur-Moder', 'Tieffenbach - Struth', 'Diemeringen', 'Oermingen', 'Kalhausen', 'Sarreguemines']"
Haguenau,Strasbourg ,TER,830569,10-03-2023,17:33:00,17:33:00,0,,"['Haguenau', 'Bischwiller', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87448,10-03-2023,17:36:00,17:36:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Bruxelles-Midi - Brussel-Zuid,Strasbourg ,TGV,9874,10-03-2023,17:37:00,17:37:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Lille Europe', 'Aéroport Charles de Gaulle 2 TGV', 'Marne-la-Vallée - Chessy', 'Champagne-Ardenne TGV', 'Lorraine TGV', 'Strasbourg']"
Paris Est,München - Hauptbahnhof ,DB SNCF,9577,10-03-2023,17:41:00,17:41:00,0,,"['Paris Est', 'Strasbourg', 'Karlsruhe Hauptbahnhof', 'Stuttgart Hbf', 'Ulm Hauptbahnhof', 'Augsburg Hauptbahnhof', 'München - Hauptbahnhof']"
Sélestat,Saverne ,TER,832028,10-03-2023,17:49:00,17:49:00,0,,"['Sélestat', 'Ebersheim', 'Kogenheim', 'Benfeld', 'Matzenheim', 'Erstein', 'Limersheim', 'Fegersheim - Lipsheim', 'Geispolsheim', 'Graffenstaden', 'Strasbourg', 'Vendenheim', 'Stephansfeld', 'Brumath', 'Mommenheim', 'Schwindratzheim', 'Hochfelden', 'Wilwisheim', 'Dettwiller', 'Steinbourg', 'Saverne']"
Saverne,Sélestat ,TER,832027,10-03-2023,18:03:00,18:03:00,0,,"['Saverne', 'Steinbourg', 'Dettwiller', 'Wilwisheim', 'Hochfelden', 'Schwindratzheim', 'Mommenheim', 'Brumath', 'Stephansfeld', 'Vendenheim', 'Strasbourg', 'Graffenstaden', 'Geispolsheim', 'Fegersheim - Lipsheim', 'Limersheim', 'Erstein', 'Matzenheim', 'Benfeld', 'Kogenheim', 'Ebersheim', 'Sélestat']"
Offenburg,Strasbourg ,TER,87450,10-03-2023,18:06:00,18:06:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Rœschwoog,Strasbourg ,TER,830723,10-03-2023,18:10:00,18:10:00,0,,"['Rœschwoog', 'Herrlisheim', 'Hoenheim - Tram', 'Bischheim', 'Strasbourg']"
Molsheim,Strasbourg ,TER,830849,10-03-2023,18:12:00,18:12:00,0,,"['Molsheim', 'Dachstein', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Duppigheim', 'Entzheim Aéroport', 'Lingolsheim', 'Strasbourg - Roethig', 'Strasbourg']"
Haguenau,Strasbourg ,TER,830551,10-03-2023,18:20:00,18:20:00,0,,"['Haguenau', 'Marienthal', 'Bischwiller', 'Kurtzenhouse', 'Weyersheim', 'Hœrdt', 'Vendenheim', 'Mundolsheim', 'Strasbourg']"
Sarreguemines,Strasbourg ,TER,830931,10-03-2023,18:25:00,18:25:00,0,,"['Sarreguemines', 'Kalhausen', 'Oermingen', 'Diemeringen', 'Tieffenbach - Struth', 'Wingen-sur-Moder', 'Ingwiller', 'Obermodern', 'Mommenheim', 'Strasbourg']"
Sélestat,Strasbourg ,TER,831314,10-03-2023,18:33:00,18:33:00,0,,"['Sélestat', 'Benfeld', 'Erstein', 'Fegersheim - Lipsheim', 'Geispolsheim', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87452,10-03-2023,18:36:00,18:36:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Mannheim - Hauptbahnhof,Paris Est ,DB SNCF,9560,10-03-2023,18:48:00,18:48:00,0,,"['Mannheim - Hauptbahnhof', 'Karlsruhe Hauptbahnhof', 'Strasbourg', 'Paris Est']"
Wissembourg,Strasbourg ,TER,830601,10-03-2023,18:55:00,18:55:00,0,,"['Wissembourg', 'Soultz-sous-Forêts', 'Haguenau', 'Bischwiller', 'Strasbourg']"
Paris Est,Strasbourg ,OUIGO,7693,10-03-2023,19:00:00,19:00:00,0,,"['Paris Est', 'Metz Ville', 'Strasbourg']"
Sélestat,Strasbourg ,TER,831755,10-03-2023,19:00:00,19:00:00,0,,"['Sélestat', 'Scherwiller', 'Dambach-la-Ville', 'Epfig', 'Eichhoffen', 'Barr', 'Gertwiller', 'Goxwiller', 'Obernai', 'Bischoffsheim', 'Rosheim', 'Dorlisheim', 'Molsheim', 'Entzheim Aéroport', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87454,10-03-2023,19:04:00,19:04:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Paris Est,Strasbourg ,TGV INOUI,2061,10-03-2023,19:11:00,19:11:00,0,,"['Paris Est', 'Strasbourg']"
Paris Est,Freiburg ,TGV INOUI,9591,10-03-2023,19:11:00,19:11:00,0,,"['Paris Est', 'Strasbourg', 'Offenburg', 'Lahr Schwarzw', 'Ringsheim', 'Freiburg (Breisgau) Hauptbahnhof']"
Molsheim,Strasbourg ,TER,830853,10-03-2023,19:12:00,19:12:00,0,,"['Molsheim', 'Dachstein', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Duppigheim', 'Entzheim Aéroport', 'Lingolsheim', 'Strasbourg - Roethig', 'Strasbourg']"
Haguenau,Strasbourg ,TER,830555,10-03-2023,19:20:00,19:20:00,0,,"['Haguenau', 'Marienthal', 'Bischwiller', 'Kurtzenhouse', 'Weyersheim', 'Hœrdt', 'Vendenheim', 'Mundolsheim', 'Strasbourg']"
Saverne,Sélestat ,TER,832033,10-03-2023,19:33:00,19:33:00,0,,"['Saverne', 'Steinbourg', 'Dettwiller', 'Wilwisheim', 'Hochfelden', 'Schwindratzheim', 'Mommenheim', 'Brumath', 'Stephansfeld', 'Vendenheim', 'Strasbourg', 'Graffenstaden', 'Geispolsheim', 'Fegersheim - Lipsheim', 'Limersheim', 'Erstein', 'Matzenheim', 'Benfeld', 'Kogenheim', 'Ebersheim', 'Sélestat']"
Offenburg,Strasbourg ,TER,87456,10-03-2023,19:36:00,19:36:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Bâle - SBB,Strasbourg ,TER,96238,10-03-2023,19:39:00,19:39:00,0,,"['Bâle - SBB', 'Saint-Louis', 'Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Paris Est,Stuttgart Hbf ,DB SNCF,9579,10-03-2023,19:41:00,19:41:00,0,,"['Paris Est', 'Strasbourg', 'Karlsruhe Hauptbahnhof', 'Stuttgart Hbf']"
Niederbronn-les-Bains,Strasbourg ,TER,832923,10-03-2023,19:50:00,19:50:00,0,,"['Niederbronn-les-Bains', 'Reichshoffen', 'Gundershoffen', 'Mertzwiller', 'Schweighouse-sur-Moder', 'Haguenau', 'Marienthal', 'Bischwiller', 'Kurtzenhouse', 'Weyersheim', 'Hœrdt', 'Vendenheim', 'Mundolsheim', 'Strasbourg']"
Sélestat,Strasbourg ,TER,831759,10-03-2023,20:00:00,20:00:00,0,,"['Sélestat', 'Scherwiller', 'Dambach-la-Ville', 'Epfig', 'Eichhoffen', 'Barr', 'Gertwiller', 'Goxwiller', 'Obernai', 'Bischoffsheim', 'Rosheim', 'Dorlisheim', 'Molsheim', 'Entzheim Aéroport', 'Strasbourg']"
Bâle - SBB,Strasbourg ,TER,96272,10-03-2023,20:09:00,20:09:00,0,,"['Bâle - SBB', 'Saint-Louis', 'Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Molsheim,Strasbourg ,TER,830857,10-03-2023,20:12:00,20:12:00,0,,"['Molsheim', 'Dachstein', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Duppigheim', 'Entzheim Aéroport', 'Lingolsheim', 'Strasbourg - Roethig', 'Strasbourg']"
Stuttgart Hbf,Paris Est ,DB SNCF,9570,10-03-2023,20:13:00,20:13:00,0,,"['Stuttgart Hbf', 'Karlsruhe Hauptbahnhof', 'Strasbourg', 'Paris Est']"
Wissembourg,Strasbourg ,TER,830605,10-03-2023,20:25:00,20:25:00,0,,"['Wissembourg', 'Soultz-sous-Forêts', 'Haguenau', 'Bischwiller', 'Strasbourg']"
Paris Est,Colmar ,TGV INOUI,2377,10-03-2023,20:41:00,20:41:00,0,,"['Paris Est', 'Strasbourg', 'Sélestat', 'Colmar']"
Sélestat,Strasbourg ,TER,831763,10-03-2023,21:00:00,21:00:00,0,,"['Sélestat', 'Scherwiller', 'Dambach-la-Ville', 'Epfig', 'Eichhoffen', 'Barr', 'Gertwiller', 'Goxwiller', 'Obernai', 'Bischoffsheim', 'Rosheim', 'Dorlisheim', 'Molsheim', 'Entzheim Aéroport', 'Strasbourg']"
Bâle - SBB,Strasbourg ,TER,96248,10-03-2023,21:09:00,21:09:00,0,,"['Bâle - SBB', 'Saint-Louis', 'Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87462,10-03-2023,21:36:00,21:36:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Épinal,Strasbourg ,TER,401931,10-03-2023,22:19:00,22:19:00,0,,"['Épinal', 'Arches', 'Bruyères', 'Saint-Dié-des-Vosges', 'Saales', 'Rothau', 'Schirmeck - La Broque', 'Wisches Église', 'Urmatt', 'Mutzig Passage à Niveau', 'Molsheim', 'Entzheim Aéroport', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87464,10-03-2023,22:36:00,22:36:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Paris Est,Strasbourg ,TGV INOUI,2583,10-03-2023,22:54:00,22:54:00,0,,"['Paris Est', 'Nancy', 'Sarrebourg', 'Saverne', 'Strasbourg']"
Molsheim,Strasbourg ,TER,400867,10-03-2023,23:08:00,23:08:00,0,,"['Molsheim', 'Dachstein', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Duppigheim', 'Entzheim Aéroport', 'Lingolsheim', 'Strasbourg - Roethig', 'Strasbourg']"
Sélestat,Strasbourg ,TER,401318,10-03-2023,23:21:00,23:21:00,0,,"['Sélestat', 'Ebersheim', 'Kogenheim', 'Benfeld', 'Matzenheim Échangeur', 'Erstein', 'Limersheim', 'Fegersheim - Lipsheim', 'Geispolsheim CTS Gare', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87466,10-03-2023,23:58:00,23:58:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Sélestat,Saverne ,TER,832006,11-03-2023,06:49:00,06:49:00,0,,"['Sélestat', 'Ebersheim', 'Kogenheim', 'Benfeld', 'Matzenheim', 'Erstein', 'Limersheim', 'Fegersheim - Lipsheim', 'Geispolsheim', 'Graffenstaden', 'Strasbourg', 'Vendenheim', 'Stephansfeld', 'Brumath', 'Mommenheim', 'Schwindratzheim', 'Hochfelden', 'Wilwisheim', 'Dettwiller', 'Steinbourg', 'Saverne']"
Sélestat,Strasbourg ,TER,831705,11-03-2023,06:58:00,06:58:00,0,,"['Sélestat', 'Scherwiller', 'Dambach-la-Ville', 'Epfig', 'Eichhoffen', 'Barr', 'Gertwiller', 'Goxwiller', 'Obernai', 'Bischoffsheim', 'Rosheim', 'Dorlisheim', 'Molsheim', 'Entzheim Aéroport', 'Strasbourg']"
Sarrebourg,Sélestat ,TER,832043,11-03-2023,07:03:00,07:03:00,0,,"['Sarrebourg', 'Réding', 'Lutzelbourg', 'Saverne', 'Steinbourg', 'Dettwiller', 'Wilwisheim', 'Hochfelden', 'Schwindratzheim', 'Mommenheim', 'Brumath', 'Stephansfeld', 'Vendenheim', 'Strasbourg', 'Graffenstaden', 'Geispolsheim', 'Fegersheim - Lipsheim', 'Limersheim', 'Erstein', 'Matzenheim', 'Benfeld', 'Kogenheim', 'Ebersheim', 'Sélestat']"
Offenburg,Strasbourg ,TER,87406,11-03-2023,07:06:00,07:06:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Niederbronn-les-Bains,Strasbourg ,TER,832933,11-03-2023,07:20:00,07:20:00,0,,"['Niederbronn-les-Bains', 'Reichshoffen', 'Gundershoffen', 'Mertzwiller', 'Schweighouse-sur-Moder', 'Haguenau', 'Marienthal', 'Bischwiller', 'Kurtzenhouse', 'Weyersheim', 'Hœrdt', 'Vendenheim', 'Mundolsheim', 'Strasbourg']"
Sarreguemines,Strasbourg ,TER,830917,11-03-2023,07:25:00,07:25:00,0,,"['Sarreguemines', 'Kalhausen', 'Oermingen', 'Diemeringen', 'Tieffenbach - Struth', 'Wingen-sur-Moder', 'Ingwiller', 'Obermodern', 'Mommenheim', 'Strasbourg']"
Saint-Louis,Strasbourg ,TER,96206,11-03-2023,07:39:00,07:39:00,0,,"['Saint-Louis', 'Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Lauterbourg,Strasbourg ,TER,830733,11-03-2023,07:40:00,07:40:00,0,,"['Lauterbourg', 'Mothern', 'Munchhausen', 'Seltz', 'Beinheim - Roppenheim', 'Rœschwoog', 'Rountzenheim', 'Sessenheim', 'Drusenheim', 'Herrlisheim', 'Gambsheim', 'Kilstett', 'La Wantzenau', 'Hoenheim - Tram', 'Bischheim', 'Strasbourg']"
Molsheim,Strasbourg ,TER,830807,11-03-2023,07:42:00,07:42:00,0,,"['Molsheim', 'Dachstein', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Duppigheim', 'Entzheim Aéroport', 'Lingolsheim', 'Strasbourg - Roethig', 'Strasbourg']"
Sélestat,Strasbourg ,TER,831711,11-03-2023,08:00:00,08:00:00,0,,"['Sélestat', 'Scherwiller', 'Dambach-la-Ville', 'Epfig', 'Eichhoffen', 'Barr', 'Gertwiller', 'Goxwiller', 'Obernai', 'Bischoffsheim', 'Rosheim', 'Dorlisheim', 'Molsheim', 'Entzheim Aéroport', 'Strasbourg']"
Offenburg,Strasbourg ,TER,87404,11-03-2023,08:04:00,08:04:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Mulhouse-Ville,Strasbourg ,TER,832312,11-03-2023,08:09:30,08:09:30,0,,"['Mulhouse-Ville', 'Mulhouse Dornach', 'Bollwiller', 'Rouffach', 'Colmar', 'Sélestat', 'Benfeld', 'Erstein', 'Strasbourg']"
Metz Ville,Strasbourg ,TER,830301,11-03-2023,08:10:00,08:10:00,0,,"['Metz Ville', 'Morhange', 'Réding', 'Saverne', 'Brumath', 'Strasbourg']"
Haguenau,Strasbourg ,TER,830511,11-03-2023,08:18:30,08:18:30,0,,"['Haguenau', 'Marienthal', 'Bischwiller', 'Kurtzenhouse', 'Weyersheim', 'Hœrdt', 'Vendenheim', 'Mundolsheim', 'Strasbourg']"
Sarreguemines,Strasbourg ,TER,830921,11-03-2023,08:25:00,08:25:00,0,,"['Sarreguemines', 'Kalhausen', 'Oermingen', 'Diemeringen', 'Tieffenbach - Struth', 'Wingen-sur-Moder', 'Ingwiller', 'Obermodern', 'Mommenheim', 'Strasbourg']"
Wissembourg,Strasbourg ,TER,830619,11-03-2023,08:25:00,08:25:00,0,,"['Wissembourg', 'Riedseltz', 'Hoffen', 'Soultz-sous-Forêts', 'Hoelschloch - Surbourg', 'Walbourg', 'Haguenau', 'Bischwiller', 'Strasbourg']"
Saint-Louis,Strasbourg ,TER,96210,11-03-2023,08:39:00,08:39:00,0,,"['Saint-Louis', 'Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Molsheim,Strasbourg ,TER,830811,11-03-2023,08:42:00,08:42:00,0,,"['Molsheim', 'Dachstein', 'Duttlenheim - Ernolsheim-sur-Bruche', 'Duppigheim', 'Entzheim Aéroport', 'Lingolsheim', 'Strasbourg - Roethig', 'Strasbourg']"
Saales,Strasbourg ,TER,831855,11-03-2023,08:46:00,08:46:00,0,,"['Saales', 'Bourg-Bruche', 'Saint-Blaise-la-Roche Poutay', 'Fouday', 'Rothau', 'Schirmeck - La Broque', 'Russ Hersbach', 'Wisches', 'Muhlbach-sur-Bruche - Lutzelhouse', 'Mullerhof', 'Urmatt', 'Heiligenberg - Mollkirch', 'Gresswiller', 'Mutzig', 'Molsheim', 'Entzheim Aéroport', 'Strasbourg']"
Sélestat,Saverne ,TER,832012,11-03-2023,08:49:00,08:49:00,0,,"['Sélestat', 'Ebersheim', 'Kogenheim', 'Benfeld', 'Matzenheim', 'Erstein', 'Limersheim', 'Fegersheim - Lipsheim', 'Geispolsheim', 'Graffenstaden', 'Strasbourg', 'Vendenheim', 'Stephansfeld', 'Brumath', 'Mommenheim', 'Schwindratzheim', 'Hochfelden', 'Wilwisheim', 'Dettwiller', 'Steinbourg', 'Saverne']"
Sélestat,Strasbourg ,TER,831715,11-03-2023,09:00:00,09:00:00,0,,"['Sélestat', 'Scherwiller', 'Dambach-la-Ville', 'Epfig', 'Eichhoffen', 'Barr', 'Gertwiller', 'Goxwiller', 'Obernai', 'Bischoffsheim', 'Rosheim', 'Dorlisheim', 'Molsheim', 'Entzheim Aéroport', 'Strasbourg']"
Saverne,Sélestat ,TER,832045,11-03-2023,09:03:00,09:03:00,0,,"['Saverne', 'Steinbourg', 'Dettwiller', 'Wilwisheim', 'Hochfelden', 'Schwindratzheim', 'Mommenheim', 'Brumath', 'Stephansfeld', 'Vendenheim', 'Strasbourg', 'Limersheim', 'Erstein', 'Matzenheim', 'Benfeld', 'Kogenheim', 'Ebersheim', 'Sélestat']"
Paris Est,Mannheim - Hauptbahnhof ,DB SNCF,9561,11-03-2023,09:06:00,09:06:00,0,,"['Paris Est', 'Strasbourg', 'Karlsruhe Hauptbahnhof', 'Mannheim - Hauptbahnhof']"
Paris Est,Colmar ,TGV INOUI,2363,11-03-2023,09:06:00,09:06:00,0,,"['Paris Est', 'Strasbourg', 'Colmar']"
Offenburg,Strasbourg ,TER,87414,11-03-2023,09:10:00,09:10:00,0,,"['Offenburg', 'Appenweier', 'Legelshurst', 'Kork', 'Kehl', 'Krimmeri Meinau', 'Strasbourg']"
Haguenau,Strasbourg ,TER,830515,11-03-2023,09:20:00,09:20:00,0,,"['Haguenau', 'Marienthal', 'Bischwiller', 'Kurtzenhouse', 'Weyersheim', 'Hœrdt', 'Vendenheim', 'Mundolsheim', 'Strasbourg']"
Mulhouse-Ville,Strasbourg ,TER,96214,11-03-2023,09:39:00,09:39:00,0,,"['Mulhouse-Ville', 'Colmar', 'Sélestat', 'Strasbourg']"
Nancy,Strasbourg ,TER,835053,11-03-2023,09:40:00,09:40:00,0,,"['Nancy', 'Lunéville', 'Igney - Avricourt', 'Sarrebourg', 'Saverne', 'Brumath', 'Strasbourg']"
Avignon Centre,Marseille - Saint-Charles ,TER,879527,10-03-2023,10:19:00,10:19:00,0,,"['Avignon Centre', 'Arles', 'Saint-Martin-de-Crau', 'Miramas', 'Saint-Chamas', 'Rognac', 'Vitrolles - Aéroport Marseille Provence', 'Pas des Lanciers', 'L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Marseille - Saint-Charles']"
Aéroport Charles de Gaulle 2 TGV,Marseille - Saint-Charles ,OUIGO,7831,10-03-2023,10:24:00,10:24:00,0,,"['Aéroport Charles de Gaulle 2 TGV', 'Marne-la-Vallée - Chessy', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles']"
Aix-en-Provence,Marseille - Saint-Charles ,TER,880123,10-03-2023,10:37:00,10:37:00,0,,"['Aix-en-Provence', 'Gardanne', 'Simiane', 'Septèmes', 'Saint-Antoine', 'Saint-Joseph - Le Castellas', 'Sainte-Marthe en Provence', 'Picon - Busserine', 'Marseille - Saint-Charles']"
