Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6610,10-03-2023,11:02:00,11:02:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lausanne,Paris - Gare de Lyon - Hall 1 & 2 ,TGV Lyria,9264,10-03-2023,11:17:00,11:12:00,5,Retard non expliqué,"['Lausanne', 'Vallorbe', 'Frasne', 'Mouchard', 'Dole-Ville', 'Dijon Ville', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,OUIGO,7802,10-03-2023,11:36:00,11:36:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Genève - Cornavin - CFF,Paris - Gare de Lyon - Hall 1 & 2 ,TGV Lyria,9766,10-03-2023,11:48:00,11:48:00,0,,"['Genève - Cornavin - CFF', 'Bellegarde-sur-Valserine Gare', 'Nurieux', 'Bourg-en-Bresse', 'Paris - Gare de Lyon - Hall 1 & 2']"
Zürich - Hauptbahnhof,Paris - Gare de Lyon - Hall 1 & 2 ,TGV Lyria,9206,10-03-2023,11:49:00,11:44:00,5,Retard non expliqué,"['Zürich - Hauptbahnhof', 'Bâle - SBB', 'Mulhouse-Ville', 'Belfort - Montbéliard TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Nice,Paris - Gare de Lyon - Hall 1 & 2 ,OUIGO,7858,10-03-2023,11:52:00,11:52:00,0,,"['Nice', 'Antibes', 'Cannes', 'Les Arcs - Draguignan', 'Toulon', 'Aix-en-Provence TGV', 'Lyon Saint-Exupéry TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6612,10-03-2023,12:13:00,12:13:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Montpellier Saint-Roch,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6030,10-03-2023,12:18:00,12:18:00,0,,"['Montpellier Saint-Roch', 'Nîmes Centre', 'Valence TGV Rhône-Alpes Sud', 'Paris - Gare de Lyon - Hall 1 & 2']"
Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6112,10-03-2023,12:28:00,12:23:00,5,Retard non expliqué,"['Marseille - Saint-Charles', 'Aix-en-Provence TGV', 'Avignon TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Grenoble,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6908,10-03-2023,12:49:00,12:49:00,0,,"['Grenoble', 'Lyon Saint-Exupéry TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Perpignan,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6202,10-03-2023,13:03:00,12:18:00,45,Panne de signalisation,"['Perpignan', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Montpellier Saint-Roch', 'Nîmes Centre', 'Valence TGV Rhône-Alpes Sud', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6614,10-03-2023,13:04:00,13:04:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Annecy,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6964,10-03-2023,13:16:00,13:16:00,0,,"['Annecy', 'Aix-les-Bains - Le Revard', 'Chambéry - Challes-les-Eaux', 'Mâcon Loché TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Milano - Porta Garibaldi,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,9240,10-03-2023,13:16:00,13:16:00,0,,"['Milano - Porta Garibaldi', 'Torino Porta Susa', 'Oulx - Cesana Clav Sestriere', 'Modane', 'Saint-Jean-de-Maurienne - Arvan', 'Chambéry - Challes-les-Eaux', 'Mâcon Loché TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Part Dieu,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6616,10-03-2023,13:34:00,13:34:00,0,,"['Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Zürich - Hauptbahnhof,Paris - Gare de Lyon - Hall 1 & 2 ,TGV Lyria,9210,10-03-2023,13:41:30,13:41:30,0,,"['Zürich - Hauptbahnhof', 'Bâle - SBB', 'Mulhouse-Ville', 'Dijon Ville', 'Paris - Gare de Lyon - Hall 1 & 2']"
Laroche - Migennes,Paris - Gare de Lyon - Hall 1 & 2 ,TER,891016,10-03-2023,14:13:00,14:13:00,0,,"['Laroche - Migennes', 'Joigny', 'Saint-Julien-du-Sault', 'Villeneuve-sur-Yonne', 'Sens', 'Pont-sur-Yonne', 'Champigny-sur-Yonne', 'Villeneuve-la-Guyard', 'Montereau', 'Saint-Mammès', 'Moret - Veneux-les-Sablons', 'Fontainebleau - Avon', 'Bois-le-Roi', 'Melun', 'Paris - Gare de Lyon - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862418,10-03-2023,10:50:00,10:50:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Toulouse Matabiau,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8502,10-03-2023,10:52:30,10:52:30,0,,"['Toulouse Matabiau', 'Montauban Ville Bourbon', 'Agen', 'Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Quimper,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,8706,10-03-2023,11:19:00,11:19:00,0,,"['Quimper', 'Lorient', 'Auray', 'Vannes', 'Rennes', 'Laval', 'Paris - Montparnasse - Hall 1 & 2']"
Brest,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8606,10-03-2023,11:19:00,11:19:00,0,,"['Brest', 'Morlaix', 'Guingamp', 'Saint-Brieuc', 'Rennes', 'Laval', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,7652,10-03-2023,11:33:00,11:33:00,0,,"['Bordeaux Saint-Jean', 'Angoulême', 'Poitiers', 'Paris - Montparnasse - Hall 1 & 2']"
Hendaye,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8530,10-03-2023,11:52:30,11:52:30,0,,"['Hendaye', 'Saint-Jean-de-Luz - Ciboure', 'Biarritz', 'Bayonne', 'Dax', 'Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Tarbes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8560,10-03-2023,11:52:30,11:52:30,0,,"['Tarbes', 'Lourdes', 'Pau', 'Orthez', 'Dax', 'Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Granville,Paris - Montparnasse - Hall 1 & 2 ,TER,3420,10-03-2023,12:06:00,12:06:00,0,,"['Granville', 'Villedieu-les-Poêles', 'Vire', 'Flers', 'Argentan', 'Surdon', 'L\'Aigle"", \'links\': [], \'coord\': {\'lat\': \'48.766229\', \'lon\': \'0.620014\'}, \'label\': ""L\'Aigle (L\'Aigle)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87444638:Train\'', 'Verneuil-sur-Avre', 'Paris - Montparnasse - Hall 1 & 2']"
Nantes,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,7622,10-03-2023,12:57:00,12:57:00,0,,"['Nantes', 'Angers-Saint-Laud', 'Paris - Montparnasse - Hall 1 & 2']"
Nantes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8868,10-03-2023,13:25:00,13:25:00,0,,"['Nantes', 'Angers-Saint-Laud', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,7656,10-03-2023,14:41:30,14:41:30,0,,"['Bordeaux Saint-Jean', 'Saint-Pierre-des-Corps', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862426,10-03-2023,14:50:00,14:50:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8508,10-03-2023,14:52:30,14:52:30,0,,"['Bordeaux Saint-Jean', 'Paris - Montparnasse - Hall 1 & 2']"
Quimper,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,8720,10-03-2023,15:06:00,15:06:00,0,,"['Quimper', 'Lorient', 'Vannes', 'Rennes', 'Paris - Montparnasse - Hall 1 & 2']"
Saint-Malo,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8084,10-03-2023,15:06:00,15:06:00,0,,"['Saint-Malo', 'Rennes', 'Paris - Montparnasse - Hall 1 & 2']"
Le Mans,Paris - Montparnasse - Hall 1 & 2 ,TER,16770,10-03-2023,15:53:00,15:53:00,0,,"['Le Mans', 'Connerré - Beillé', 'La Ferté-Bernard', 'Nogent-le-Rotrou', 'La Loupe', 'Courville-sur-Eure', 'Chartres', 'Maintenon', 'Épernon', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862430,10-03-2023,16:50:00,16:50:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
La Rochelle,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8378,10-03-2023,16:57:00,16:57:00,0,,"['La Rochelle', 'Surgères', 'Niort', 'Saint-Maixent-l\'École"", \'links\': [], \'coord\': {\'lat\': \'46.406482\', \'lon\': \'-0.20132\'}, \'label\': ""Saint-Maixent-l\'École (Saint-Maixent-l\'École)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87485490:LongDistanceTrain\'', 'Poitiers', 'Saint-Pierre-des-Corps', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,12260,10-03-2023,17:12:30,17:12:30,0,,"['Bordeaux Saint-Jean', 'Angoulême', 'Paris - Montparnasse - Hall 1 & 2']"
