Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris Nord,St Pancras International ,Eurostar,9019,10-03-2023,10:13:00,10:13:00,0,,['St Pancras International']
Paris Nord,Amsterdam Centraal ,Thalys,9327,10-03-2023,10:25:00,10:25:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Antwerpen-Centraal', 'Rotterdam Centraal', 'Schiphol - Airport', 'Amsterdam Centraal']"
Paris Nord,Dunkerque ,TGV INOUI,7265,10-03-2023,10:52:00,10:52:00,0,,"['Arras', 'Lille Europe', 'Dunkerque']"
Paris Nord,St Pancras International ,Eurostar,9023,10-03-2023,11:13:00,11:13:00,0,,['St Pancras International']
Paris Nord,Düsseldorf - Hauptbahnhof ,Thalys,9435,10-03-2023,11:55:00,11:55:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Liège-Guillemins', 'Aachen Hauptbahnhof', 'Köln - Hauptbahnhof', 'Düsseldorf - Hauptbahnhof']"
Paris Nord,Amsterdam Centraal ,Thalys,9339,10-03-2023,12:22:00,12:22:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Antwerpen-Centraal', 'Rotterdam Centraal', 'Schiphol - Airport', 'Amsterdam Centraal']"
Paris Nord,Beauvais - Gare SNCF ,TER HDF,847421,10-03-2023,13:01:00,13:01:00,0,,"['Persan - Beaumont', 'Chambly', 'Bornel - Belle-Église', 'Esches', 'Méru', 'Laboissière - Le Déluge', 'Saint-Sulpice - Auteuil', 'Beauvais - Gare SNCF']"
Paris Nord,St Pancras International ,Eurostar,9031,10-03-2023,13:13:00,13:13:00,0,,['St Pancras International']
Paris Nord,Lille Flandres ,TGV INOUI,7037,10-03-2023,13:16:00,13:16:00,0,,['Lille Flandres']
Paris Nord,Amsterdam Centraal ,Thalys,9351,10-03-2023,14:22:00,14:22:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Antwerpen-Centraal', 'Rotterdam Centraal', 'Schiphol - Airport', 'Amsterdam Centraal']"
Paris Nord,Laon ,TER HDF,849923,10-03-2023,14:31:00,14:31:00,0,,"['Dammartin - Juilly - Saint-Mard', 'Le Plessis-Belleville', 'Nanteuil-le-Haudouin', 'Crépy-en-Valois', 'Villers-Cotterêts', 'Soissons', 'Anizy - Pinon', 'Laon']"
Paris Nord,Saint-Quentin ,TER HDF,847917,10-03-2023,14:34:00,14:34:00,0,,"['Creil', 'Pont-Sainte-Maxence', 'Compiègne', 'Noyon', 'Chauny', 'Tergnier', 'Saint-Quentin']"
Paris Nord,Lille Flandres ,TGV INOUI,7043,10-03-2023,14:46:00,14:46:00,0,,['Lille Flandres']
Paris Saint-Lazare,Rouen Rive Droite ,TER,13111,10-03-2023,10:11:00,10:11:00,0,,"['Mantes-la-Jolie', 'Vernon - Giverny', 'Gaillon - Aubevoye', 'Val-de-Reuil', 'Oissel', 'Rouen Rive Droite']"
Paris Saint-Lazare,Le Havre ,TER,3109,10-03-2023,10:40:00,10:40:00,0,,"['Rouen Rive Droite', 'Yvetot', 'Bréauté - Beuzeville', 'Le Havre']"
Paris Saint-Lazare,Rouen Rive Droite ,TER,13115,10-03-2023,12:12:00,12:12:00,0,,"['Mantes-la-Jolie', 'Vernon - Giverny', 'Gaillon - Aubevoye', 'Val-de-Reuil', 'Oissel', 'Rouen Rive Droite']"
Paris Saint-Lazare,Trouville - Deauville ,TER,3379,10-03-2023,12:30:00,12:30:00,0,,"['Évreux Embranchement', 'Bernay', 'Lisieux', 'Pont-L\'Évêque"", \'links\': [], \'coord\': {\'lat\': \'49.287044\', \'lon\': \'0.191974\'}, \'label\': ""Pont-L\'Évêque (Pont-l\'Évêque)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87444349:Train\'', 'Trouville - Deauville']"
