Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Rennes,Saint-Brieuc ,TER,855665,09-03-2023,18:36:00,18:36:00,0,,"['Montfort-sur-Meu', 'Quédillac', 'Caulnes', 'Broons', 'Lamballe', 'Saint-Brieuc']"
Rennes,Vitré ,TER,855274,09-03-2023,18:39:00,18:39:00,0,,"['Cesson-Sévigné', 'Noyal - Acigné', 'Servon', 'Châteaubourg', 'Vitré']"
Rennes,Dinard ,TER,82025,09-03-2023,18:40:00,18:40:00,0,,['Dinard']
Rennes,Fougères ,TER,82219,09-03-2023,18:45:00,18:45:00,0,,['Fougères']
Rennes,Pontivy ,TER,52355,09-03-2023,18:45:00,18:45:00,0,,"['Guer Coëtquidan', 'Ploërmel Pem Rehumpol', 'Josselin', 'Pontivy']"
Rennes,Loudéac ,TER,92009,09-03-2023,18:45:00,18:45:00,0,,"['Plémet', 'Loudéac Triskell', 'Loudéac']"
Rennes,Saint-Malo ,TER,854433,09-03-2023,19:35:00,19:35:00,0,,"['Pontchaillou', 'Montreuil-sur-Ille', 'Combourg', 'Dol-de-Bretagne', 'La Gouesnière - Cancale - Saint-Méloir-des-Ondes', 'Saint-Malo']"
Brest,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8642,09-03-2023,19:35:00,19:35:00,0,,['Paris - Montparnasse - Hall 1 & 2']
Rennes,Nantes ,TER,858391,09-03-2023,19:36:00,19:36:00,0,,['Nantes']
Rennes,Dinard ,TER,82027,09-03-2023,19:40:00,19:40:00,0,,['Dinard']
Rennes,Vannes ,TER,856173,09-03-2023,19:40:00,19:40:00,0,,"['Bruz', 'Messac - Guipry', 'Fougeray - Langon', 'Beslé', 'Redon', 'Malansac', 'Questembert', 'Vannes']"
Rennes,Loudéac ,TER,92011,09-03-2023,19:45:00,19:45:00,0,,"['Plémet', 'Loudéac Triskell', 'Loudéac']"
Rennes,Pontivy ,TER,52357,09-03-2023,19:45:00,19:45:00,0,,"['Guer Coëtquidan', 'Ploërmel Pem Rehumpol', 'Josselin', 'Pontivy']"
Quimper,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,7616,09-03-2023,19:47:00,19:47:00,0,,"['Laval', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Rennes,Pontivy ,TER,52363,09-03-2023,21:45:00,21:45:00,0,,"['Guer Coëtquidan', 'Ploërmel Pem Rehumpol', 'Josselin', 'Pontivy']"
Rennes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8072,10-03-2023,05:32:00,05:32:00,0,,"['Vitré', 'Laval', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Rennes,Brest ,TER,855807,10-03-2023,06:00:00,06:00:00,0,,"['Lamballe', 'Saint-Brieuc', 'Guingamp', 'Plouaret - Trégor', 'Morlaix', 'Landivisiau', 'Landerneau', 'Brest']"
Rennes,Quimper ,TER,856609,10-03-2023,06:07:00,06:07:00,0,,"['Redon', 'Questembert', 'Vannes', 'Auray', 'Hennebont', 'Lorient', 'Quimperlé', 'Rosporden', 'Quimper']"
Saint-Brieuc,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8680,10-03-2023,06:35:00,06:35:00,0,,"['Laval', 'Paris - Montparnasse - Hall 1 & 2']"
Rennes,Laval ,TER,857656,10-03-2023,06:56:00,06:56:00,0,,"['Cesson-Sévigné', 'Noyal - Acigné', 'Servon', 'Châteaubourg', 'Vitré', 'Saint-Pierre-la-Cour', 'Port-Brillet', 'Le Genest', 'Laval']"
Rennes,Caen ,TER,36891,10-03-2023,07:30:00,07:30:00,0,,"['Rennes Beaulieu Chimie', 'Avranches', 'Guilberville-le Saussey', 'Caen']"
Rennes,Saint-Malo ,TER,854309,10-03-2023,07:35:00,07:35:00,0,,"['Pontchaillou', 'Montreuil-sur-Ille', 'Combourg', 'Dol-de-Bretagne', 'La Fresnais', 'Saint-Malo']"
Rennes,Nantes ,TER,858307,10-03-2023,07:36:00,07:36:00,0,,['Nantes']
Rennes,Saint-Brieuc ,TER,855613,10-03-2023,07:36:00,07:36:00,0,,"['Montauban-de-Bretagne', 'Caulnes', 'Broons', 'Plénée-Jugon', 'Plestan', 'Lamballe', 'Yffiniac', 'Saint-Brieuc']"
Rennes,Vannes ,TER,856115,10-03-2023,07:40:00,07:40:00,0,,"['Bruz', 'Messac - Guipry', 'Beslé', 'Massérac', 'Redon', 'Malansac', 'Questembert', 'Vannes']"
Rennes,Laval ,TER,857658,10-03-2023,07:43:00,07:43:00,0,,"['Cesson-Sévigné', 'Noyal - Acigné', 'Servon', 'Châteaubourg', 'Vitré', 'Saint-Pierre-la-Cour', 'Port-Brillet', 'Le Genest', 'Laval']"
Rennes,Vitré ,TER,855218,10-03-2023,08:05:00,08:05:00,0,,"['Cesson-Sévigné', 'Noyal - Acigné', 'Servon', 'Châteaubourg', 'Les Lacs', 'Vitré']"
Rennes,Saint-Malo ,TER,854315,10-03-2023,08:35:00,08:35:00,0,,"['Pontchaillou', 'Montreuil-sur-Ille', 'Combourg', 'Dol-de-Bretagne', 'La Gouesnière - Cancale - Saint-Méloir-des-Ondes', 'Saint-Malo']"
Rennes,Nantes ,TER,858311,10-03-2023,08:36:00,08:36:00,0,,['Nantes']
Rennes,Saint-Brieuc ,TER,855621,10-03-2023,08:36:00,08:36:00,0,,"['Montauban-de-Bretagne', 'Caulnes', 'Broons', 'Plénée-Jugon', 'Plestan', 'Lamballe', 'Yffiniac', 'Saint-Brieuc']"
Rennes,Fougères ,TER,82201,10-03-2023,08:45:00,08:45:00,0,,['Fougères']
Rennes,Loudéac ,TER,92001,10-03-2023,08:45:00,08:45:00,0,,"['Plémet', 'Loudéac Triskell', 'Loudéac']"
Rennes,Dinard ,TER,82001,10-03-2023,09:00:00,09:00:00,0,,['Dinard']
Rennes,Fougères ,TER,82203,10-03-2023,09:30:00,09:30:00,0,,['Fougères']
Rennes,Saint-Malo ,TER,854327,10-03-2023,09:35:00,09:35:00,0,,"['Pontchaillou', 'Montreuil-sur-Ille', 'Combourg', 'Dol-de-Bretagne', 'La Gouesnière - Cancale - Saint-Méloir-des-Ondes', 'Saint-Malo']"
Quimper,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8706,10-03-2023,09:35:00,09:35:00,0,,"['Laval', 'Paris - Montparnasse - Hall 1 & 2']"
Brest,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8606,10-03-2023,09:35:00,09:35:00,0,,"['Laval', 'Paris - Montparnasse - Hall 1 & 2']"
Rennes,Pontivy ,TER,52345,10-03-2023,09:45:00,09:45:00,0,,"['Guer Coëtquidan', 'Ploërmel Pem Rehumpol', 'Josselin', 'Pontivy']"
Rennes,Fougères ,TER,82205,10-03-2023,09:55:00,09:55:00,0,,['Fougères']
Paris - Montparnasse - Hall 1 & 2,Quimper ,TGV INOUI,8707,10-03-2023,10:29:00,10:29:00,0,,"['Redon', 'Vannes', 'Auray', 'Lorient', 'Quimper']"
Rennes,Montauban-de-Bretagne ,TER,411125,10-03-2023,10:45:00,10:45:00,0,,"['Montfort-sur-Meu', 'Montauban-de-Bretagne']"
Rennes,Loudéac ,TER,92003,10-03-2023,10:45:00,10:45:00,0,,"['Plémet', 'Loudéac Triskell', 'Loudéac']"
Rennes,Fougères ,TER,82209,10-03-2023,11:00:00,11:00:00,0,,['Fougères']
Rennes,Dinard ,TER,82009,10-03-2023,11:00:00,11:00:00,0,,['Dinard']
Rennes,Quimper ,TER,856625,10-03-2023,11:35:00,11:35:00,0,,"['Redon', 'Questembert', 'Vannes', 'Auray', 'Hennebont', 'Lorient', 'Quimperlé', 'Rosporden', 'Quimper']"
Rennes,Laval ,TER,857668,10-03-2023,11:55:00,11:55:00,0,,"['Cesson-Sévigné', 'Noyal - Acigné', 'Servon', 'Châteaubourg', 'Vitré', 'Saint-Pierre-la-Cour', 'Port-Brillet', 'Le Genest', 'Laval']"
Rennes,Brest ,TER,855819,10-03-2023,12:00:00,12:00:00,0,,"['Lamballe', 'Saint-Brieuc', 'Guingamp', 'Morlaix', 'Landivisiau', 'Landerneau', 'Brest']"
Paris - Montparnasse - Hall 1 & 2,Brest ,TGV INOUI,8615,10-03-2023,12:32:00,12:32:00,0,,"['Lamballe', 'Saint-Brieuc', 'Guingamp', 'Plouaret - Trégor', 'Morlaix', 'Brest']"
Rennes,Saint-Malo ,TER,854339,10-03-2023,12:35:00,12:35:00,0,,"['Pontchaillou', 'Montreuil-sur-Ille', 'Dingé', 'Combourg', 'Bonnemain', 'Dol-de-Bretagne', 'La Fresnais', 'Saint-Malo']"
Rennes,Nantes ,TER,858341,10-03-2023,12:36:00,12:36:00,0,,['Nantes']
Rennes,Saint-Brieuc ,TER,855631,10-03-2023,12:36:00,12:36:00,0,,"['Montfort-sur-Meu', 'Montauban-de-Bretagne', 'Quédillac', 'Caulnes', 'Broons', 'Plénée-Jugon', 'Plestan', 'Lamballe', 'Yffiniac', 'Saint-Brieuc']"
Rennes,Vannes ,TER,856127,10-03-2023,12:40:00,12:40:00,0,,"['Bruz', 'Messac - Guipry', 'Fougeray - Langon', 'Beslé', 'Redon', 'Malansac', 'Questembert', 'Vannes']"
Rennes,Pontivy ,TER,52347,10-03-2023,12:45:00,12:45:00,0,,"['Guer Coëtquidan', 'Ploërmel Pem Rehumpol', 'Josselin', 'Pontivy']"
Rennes,Fougères ,TER,82211,10-03-2023,12:45:00,12:45:00,0,,['Fougères']
Rennes,Châteaubriant ,TER,854018,10-03-2023,12:53:00,12:53:00,0,,"['La Poterie', 'Vern', 'Saint-Armel', 'Corps-Nuds', 'Janzé', 'Le Theil-de-Bretagne', 'Retiers', 'Martigné-Ferchaud', 'Châteaubriant']"
Perpignan,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6260,09-03-2023,18:04:00,18:04:00,0,,"['Narbonne', 'Béziers', 'Agde', 'Sète', 'Montpellier Sud de France', 'Nîmes Pont-du-Gard', 'Valence TGV Rhône-Alpes Sud', 'Paris - Gare de Lyon - Hall 1 & 2']"
Paris - Gare de Lyon - Hall 1 & 2,Barcelona Sants ,TGV INOUI,9715,09-03-2023,20:03:00,20:03:00,0,,"['Figueres - Vilafant', 'Girona/Gerona', 'Barcelona Sants']"
Perpignan,Narbonne ,TER,876100,10-03-2023,05:40:00,05:40:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne']"
Perpignan,Toulouse Matabiau ,TER,876250,10-03-2023,06:24:00,06:24:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Lézignan-Corbières', 'Carcassonne', 'Bram', 'Castelnaudary', 'Villefranche-de-Lauragais', 'Baziège', 'Escalquens', 'Labège - Innopole', 'Montaudran', 'Toulouse Matabiau']"
Perpignan,Narbonne ,TER,876104,10-03-2023,06:38:00,06:38:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne']"
Cerbère,Nîmes Centre ,TER,876406,10-03-2023,07:10:00,07:10:00,0,,"['Rivesaltes', 'Salses', 'Leucate la Franqui', 'Port-la-Nouvelle', 'Narbonne', 'Béziers', 'Agde', 'Sète', 'Frontignan', 'Montpellier Saint-Roch', 'Baillargues', 'Lunel', 'Vergèze - Codognan', 'Nîmes Centre']"
Perpignan,Villefranche - Vernet-les-Bains ,TER,877651,10-03-2023,07:11:00,07:11:00,0,,"['Le Soler', 'Saint-Féliu-d\'Avall"", \'links\': [], \'coord\': {\'lat\': \'42.677277\', \'lon\': \'2.737806\'}, \'label\': ""Saint-Féliu-d\'Avall (Saint-Féliu-d\'Avall)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87784520:Train\'', 'Millas', 'Ille-sur-Têt', 'Vinça', 'Marquixanes', 'Prades - Molitg-les-Bains', 'Ria', 'Villefranche - Vernet-les-Bains']"
