Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Lens,Lille Flandres ,TER HDF,843205,07-03-2023,06:40:00,06:40:00,0,,"['Billy-Montigny', 'Hénin-Beaumont', 'Dourges', 'Libercourt', 'Seclin', 'Lille Flandres']"
Hazebrouck,Arras ,TER HDF,846522,07-03-2023,07:26:00,07:26:00,0,,"['Avion', 'Vimy', 'Farbus', 'Bailleul-Sir-Berthoult', 'Arras']"
Lens,Lille Flandres ,TER HDF,843209,07-03-2023,07:40:00,07:40:00,0,,"['Billy-Montigny', 'Hénin-Beaumont', 'Dourges', 'Libercourt', 'Seclin', 'Lille Flandres']"
Arras,Hazebrouck ,TER HDF,846545,07-03-2023,08:33:00,08:33:00,0,,"['Liévin', 'Bully - Grenay', 'Noeux', 'Béthune', 'Lillers', 'Ham-en-Artois', 'Isbergues', 'Hazebrouck']"
Lens,Lille Flandres ,TER HDF,842112,07-03-2023,16:14:00,16:14:00,0,,"['Sallaumines', 'Loison-sous-Lens', 'Pont-à-Vendin', 'Meurchin', 'Bauvin - Provin', 'Don - Sainghin', 'La Fontaine', 'Wavrin', 'Santes', 'Haubourdin', 'Loos lez Lille', 'Lille CHR', 'Lille Porte de Douai', 'Lille Flandres']"
Lens,Lille Flandres ,TER HDF,843231,07-03-2023,16:40:00,16:40:00,0,,"['Billy-Montigny', 'Hénin-Beaumont', 'Dourges', 'Libercourt', 'Seclin', 'Lille Flandres']"
Dunkerque,Arras ,TER HDF,846424,07-03-2023,17:52:00,17:52:00,0,,"['Avion', 'Arras']"
Paris Nord,Boulogne-Ville ,TGV INOUI,7551,07-03-2023,08:15:00,08:15:00,0,,"['Calais - Fréthun', 'Boulogne-Ville']"
Bruxelles-Midi - Brussel-Zuid,St Pancras International ,Eurostar,9117,07-03-2023,09:31:00,09:31:00,0,,['St Pancras International']
Rennes,Bruxelles-Midi - Brussel-Zuid ,TGV INOUI,9884,07-03-2023,10:27:00,10:27:00,0,,['Bruxelles-Midi - Brussel-Zuid']
Boulogne-Ville,Paris Nord ,TGV INOUI,7516,07-03-2023,10:51:30,10:51:30,0,,"['Arras', 'Paris Nord']"
St Pancras International,Bruxelles-Midi - Brussel-Zuid ,Eurostar,9116,07-03-2023,11:37:00,11:37:00,0,,['Bruxelles-Midi - Brussel-Zuid']
Marseille - Saint-Charles,Bruxelles-Midi - Brussel-Zuid ,TGV INOUI,9854,07-03-2023,11:37:00,11:37:00,0,,['Bruxelles-Midi - Brussel-Zuid']
Boulogne-Ville,Paris Nord ,TGV INOUI,7520,07-03-2023,13:03:00,13:03:00,0,,"['Douai', 'Arras', 'Paris Nord']"
Bruxelles-Midi - Brussel-Zuid,St Pancras International ,Eurostar,9135,07-03-2023,13:35:00,13:35:00,0,,['St Pancras International']
St Pancras International,Amsterdam Centraal ,Eurostar,9126,07-03-2023,13:39:00,13:39:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Rotterdam Centraal', 'Amsterdam Centraal']"
Bruxelles-Midi - Brussel-Zuid,St Pancras International ,Eurostar,9141,07-03-2023,15:30:00,15:30:00,0,,['St Pancras International']
Lille Flandres,Paris Nord ,TGV INOUI,7002,07-03-2023,06:42:00,06:42:00,0,,['Paris Nord']
Lille Flandres,Béthune ,TER HDF,842403,07-03-2023,07:06:00,07:06:00,0,,"['Lille CHR', 'La Bassée', 'Béthune']"
Lille Flandres,Tournai ,TER,19903,07-03-2023,07:08:00,07:08:00,0,,"['Lezennes', 'Hellemmes', 'Annappes', 'Ascq', 'Baisieux', 'Froyennes', 'Tournai']"
Lille Flandres,Courtrai ,TER,19701,07-03-2023,07:09:00,07:09:00,0,,"['Croix - Wasquehal', 'Croix l\'Allumette"", \'links\': [], \'coord\': {\'lat\': \'50.6868\', \'lon\': \'3.151126\'}, \'label\': ""Croix l\'Allumette (Croix)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87281055:Train\'', 'Roubaix', 'Tourcoing', 'Mouscron Moeskroen', 'Courtrai']"
Lille Flandres,Comines ,TER HDF,36009,07-03-2023,07:19:00,07:19:00,0,,"['Quesnoy-sur-Deûle', 'Sainte-Marguerite', 'Comines']"
Lille Flandres,Hazebrouck ,TER HDF,844107,07-03-2023,07:23:00,07:23:00,0,,"['La Madeleine', 'Saint-André', 'Pérenchies', 'Armentières', 'Nieppe', 'Steenwerck', 'Bailleul', 'Strazeele', 'Hazebrouck']"
Lille Flandres,Maubeuge ,TER HDF,841805,07-03-2023,07:35:00,07:35:00,0,,"['Orchies', 'Saint-Amand-les-Eaux', 'Valenciennes', 'Le Quesnoy', 'Aulnoye-Aymeries', 'Maubeuge']"
Lille Flandres,Wambrechies ,TER HDF,36011,07-03-2023,07:36:00,07:36:00,0,,"['Marquette', 'Wambrechies']"
Lille Flandres,Lens ,TER HDF,843206,07-03-2023,07:39:00,07:39:00,0,,"['Seclin', 'Libercourt', 'Dourges', 'Hénin-Beaumont', 'Billy-Montigny', 'Lens']"
Lille Flandres,Dunkerque ,TER HDF,844903,07-03-2023,07:40:00,07:40:00,0,,"['Armentières', 'Bailleul', 'Hazebrouck', 'Cassel', 'Arnèke', 'Esquelbecq', 'Bergues', 'Dunkerque']"
Lyon Part Dieu,Chambéry - Challes-les-Eaux ,TER,18503,07-03-2023,07:50:00,07:50:00,0,,"['Bourgoin-Jallieu', 'La Tour-du-Pin', 'Pont-de-Beauvoisin', 'Lépin-le-Lac - La Bauche', 'Chambéry - Challes-les-Eaux']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6608,07-03-2023,08:04:00,08:04:00,0,,"['Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Part Dieu,Nice ,TGV INOUI,6805,07-03-2023,08:06:00,08:06:00,0,,"['Valence TGV Rhône-Alpes Sud', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles', 'Toulon', 'Saint-Raphaël - Valescure', 'Cannes', 'Antibes', 'Nice']"
Lyon Part Dieu,Annecy ,TER,17972,07-03-2023,08:08:00,08:08:00,0,,"['Ambérieu-en-Bugey', 'Aix-les-Bains - Le Revard', 'Albens', 'Rumilly', 'Annecy']"
Saint-Étienne Châteaucreux,Ambérieu-en-Bugey ,TER,886809,07-03-2023,08:12:00,08:12:00,0,,"['Crépieux la Pape', 'Miribel', 'Saint-Maurice-de-Beynost', 'Beynost', 'Montluel', 'La Valbonne', 'Meximieux - Pérouges', 'Ambérieu-en-Bugey']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6601,07-03-2023,08:13:00,08:13:00,0,,['Lyon Perrache']
Lyon Part Dieu,Valence Ville ,TER,886113,07-03-2023,08:20:00,08:20:00,0,,"['Vienne', 'Le Péage-de-Roussillon', 'Tain-l\'Hermitage - Tournon"", \'links\': [], \'coord\': {\'lat\': \'45.072178\', \'lon\': \'4.839708\'}, \'label\': ""Tain-l\'Hermitage - Tournon (Tain-l\'Hermitage)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87761163:LongDistanceTrain\'', 'Valence Ville']"
Ambérieu-en-Bugey,Saint-Étienne Châteaucreux ,TER,886708,07-03-2023,08:24:00,08:24:00,0,,"['Givors Ville', 'Rive-de-Gier', 'Saint-Chamond', 'Saint-Étienne Châteaucreux']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6641,07-03-2023,08:28:00,08:28:00,0,,['Lyon Perrache']
Lyon Perrache,Valence - Gare Routière ,TER,456101,07-03-2023,05:10:00,05:10:00,0,,"['Vienne - Gare Routière', 'Valence - Gare Routière']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6608,07-03-2023,07:50:00,07:50:00,0,,"['Lyon Part Dieu', 'Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Saint-André-le-Gaz ,TER,887309,07-03-2023,07:57:00,07:57:00,0,,"['Lyon - Jean Macé', 'Vénissieux', 'Saint-Priest', 'Saint-Quentin-Fallavier', 'La Verpillière', 'L\'Isle-d\'Abeau"", \'links\': [], \'coord\': {\'lat\': \'45.607647\', \'lon\': \'5.219598\'}, \'label\': ""L\'Isle-d\'Abeau (L\'Isle-d\'Abeau)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87761239:Train\'', 'Bourgoin-Jallieu', 'Cessieu', 'La Tour-du-Pin', 'Saint-André-le-Gaz']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6610,07-03-2023,08:50:00,08:50:00,0,,"['Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Valence Ville,Lyon Part Dieu ,TER,886112,07-03-2023,08:51:00,08:51:00,0,,[]
Lyon Perrache,Saint-André-le-Gaz ,TER,887313,07-03-2023,08:57:00,08:57:00,0,,"['Lyon - Jean Macé', 'Vénissieux', 'Saint-Priest', 'Saint-Quentin-Fallavier', 'La Verpillière', 'L\'Isle-d\'Abeau"", \'links\': [], \'coord\': {\'lat\': \'45.607647\', \'lon\': \'5.219598\'}, \'label\': ""L\'Isle-d\'Abeau (L\'Isle-d\'Abeau)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87761239:Train\'', 'Bourgoin-Jallieu', 'Cessieu', 'La Tour-du-Pin', 'Saint-André-le-Gaz']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,OUIGO,7802,07-03-2023,09:24:00,09:24:00,0,,"['Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6612,07-03-2023,09:50:00,09:50:00,0,,"['Lyon Part Dieu', 'Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6614,07-03-2023,10:50:00,10:50:00,0,,"['Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6618,07-03-2023,12:49:00,12:49:00,0,,"['Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
Arvant,Aurillac ,TER,31121,07-03-2023,06:52:00,06:52:00,0,,"['Neussargues', 'Murat', 'Le Lioran', 'Vic-sur-Cère', 'Aurillac']"
Aurillac,Arvant ,TER,31122,07-03-2023,08:58:00,08:58:00,0,,['Arvant']
Paris - Montparnasse - Hall 1 & 2,Nantes ,TGV INOUI,8863,07-03-2023,06:38:30,06:38:30,0,,"['Le Mans', 'Angers-Saint-Laud', 'Nantes']"
Rennes,Bruxelles-Midi - Brussel-Zuid ,TGV INOUI,9884,07-03-2023,08:26:30,08:26:30,0,,"['Marne-la-Vallée - Chessy', 'Aéroport Charles de Gaulle 2 TGV', 'TGV Haute Picardie', 'Lille Europe', 'Bruxelles-Midi - Brussel-Zuid']"
Nice,Grasse ,TER,881102,07-03-2023,05:42:00,05:42:00,0,,"['Nice Saint-Augustin', 'Saint-Laurent-du-Var', 'Cros de Cagnes', 'Cagnes-sur-Mer', 'Villeneuve-Loubet - Plage', 'Biot', 'Antibes', 'Juan les Pins', 'Le Golfe Juan - Vallauris', 'Cannes', 'Le Bosquet', 'La Frayère', 'Ranguin', 'Mouans-Sartoux', 'Grasse']"
